City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Portland,US,2020-10-24 21:33:09,45.52,-122.68,52.0,57,90,20.8
228,Harbour Breton,CA,2020-10-24 21:33:23,47.48,-55.8,53.01,100,100,8.01
229,Niquero,CU,2020-10-24 21:33:23,20.04,-77.58,80.83,82,100,12.77
230,Saint-Georges,GD,2020-10-24 21:33:24,12.06,-61.75,86.0,74,29,18.34
231,Yeppoon,AU,2020-10-24 21:33:24,-23.13,150.73,71.6,94,90,7.9
232,Shingu,JP,2020-10-24 21:30:23,33.73,135.98,48.99,74,0,6.2
233,Komsomolskiy,UZ,2020-10-24 21:33:25,40.43,71.72,46.4,52,100,6.93
234,Sorland,NO,2020-10-24 21:33:26,67.67,12.69,42.98,68,0,16.8
235,Prince George,CA,2020-10-24 21:33:26,53.92,-122.75,28.0,41,1,4.7
236,Faanui,PF,2020-10-24 21:33:26,-16.48,-151.75,79.32,74,42,7.09
237,Christiansburg,US,2020-10-24 21:33:27,37.13,-80.41,71.01,73,40,4.21
238,Waipawa,NZ,2020-10-24 21:33:27,-41.41,175.52,60.8,100,22,21.92
239,La Rioja,ES,2020-10-24 21:33:28,42.25,-2.5,54.0,81,0,5.82
240,Birjand,IR,2020-10-24 21:33:28,32.87,59.22,46.4,42,0,6.93
241,Vao,NC,2020-10-24 21:33:28,-22.67,167.48,73.09,80,69,14.45
242,Asau,RO,2020-10-24 21:33:29,46.43,26.4,52.0,98,100,2.71
243,Roald,NO,2020-10-24 21:33:29,62.58,6.13,48.99,61,100,19.46
244,Prieska,ZA,2020-10-24 21:33:29,-29.66,22.75,81.52,16,0,8.08
245,Zhangjiakou,CN,2020-10-24 21:33:30,40.81,114.88,45.16,49,98,1.28
246,Paamiut,GL,2020-10-24 21:33:30,61.99,-49.67,30.07,85,13,6.31
247,Tsiroanomandidy,MG,2020-10-24 21:33:31,-18.77,46.03,72.39,54,89,2.71
248,Yokadouma,CM,2020-10-24 21:33:31,3.52,15.05,70.63,96,100,0.56
249,Salalah,OM,2020-10-24 21:33:32,17.02,54.09,75.2,41,0,1.12
250,Cabedelo,BR,2020-10-24 21:33:32,-6.98,-34.83,78.8,83,75,8.05
251,Mangrol,IN,2020-10-24 21:33:32,21.12,70.12,80.83,65,23,5.46
252,Chissamba,AO,2020-10-24 21:33:33,-12.17,17.33,66.92,71,35,4.7
253,Alto Araguaia,BR,2020-10-24 21:28:51,-17.31,-53.22,80.67,65,95,1.05
254,Cherskiy,RU,2020-10-24 21:33:34,68.75,161.3,17.02,93,4,4.94
255,Acapulco,MX,2020-10-24 21:31:47,16.86,-99.89,87.8,74,75,9.17
256,Gobabis,NA,2020-10-24 21:33:34,-22.45,18.97,74.28,21,78,9.04
257,Severo-Kurilsk,RU,2020-10-24 21:33:35,50.68,156.12,46.92,91,100,25.52
258,Boa Vista,BR,2020-10-24 21:33:35,2.82,-60.67,95.0,39,20,9.17
259,Tahta,EG,2020-10-24 21:33:36,26.77,31.5,73.4,35,0,6.93
260,Nouadhibou,MR,2020-10-24 21:33:36,20.93,-17.03,71.6,73,0,14.99
261,Elatia,GR,2020-10-24 21:33:37,39.81,22.54,53.6,93,20,1.12
262,Krasnoselkup,RU,2020-10-24 21:33:37,65.7,82.47,7.32,95,84,9.13
263,Cockburn Town,TC,2020-10-24 21:33:37,21.46,-71.14,86.0,70,40,11.41
264,Trairi,BR,2020-10-24 21:33:38,-3.28,-39.27,79.86,79,1,10.92
265,Pisco,PE,2020-10-24 21:33:38,-13.7,-76.22,66.2,77,0,18.34
266,Ilovlya,RU,2020-10-24 21:33:39,49.3,43.98,57.0,76,0,6.71
267,Buenos Aires,AR,2020-10-24 21:28:56,-34.61,-58.38,70.0,93,20,12.75
268,Manacapuru,BR,2020-10-24 21:33:39,-3.3,-60.62,82.4,78,75,9.17
269,Hay River,CA,2020-10-24 21:33:40,60.82,-115.8,30.2,68,75,8.05
270,Quincy,US,2020-10-24 21:29:33,42.25,-71.0,68.0,72,75,6.93
271,Norman Wells,CA,2020-10-24 21:33:41,65.28,-126.83,21.2,92,75,9.17
272,Hualmay,PE,2020-10-24 21:33:41,-11.1,-77.61,66.2,75,26,9.57
273,Naze,JP,2020-10-24 21:33:42,28.37,129.48,69.8,60,75,14.99
274,Nanortalik,GL,2020-10-24 21:33:42,60.14,-45.24,32.45,90,15,10.04
275,Necochea,AR,2020-10-24 21:33:42,-38.55,-58.74,59.86,94,23,11.3
276,Saint George,US,2020-10-24 21:32:46,37.1,-113.58,79.0,31,1,3.36
277,Tayshet,RU,2020-10-24 21:33:43,55.93,98.0,29.55,91,100,13.06
278,Arrecife,ES,2020-10-24 21:33:44,28.96,-13.55,69.8,73,20,12.75
279,Saint-Joseph,RE,2020-10-24 21:33:44,-21.37,55.62,68.0,60,0,8.05
280,Balint,RO,2020-10-24 21:33:44,45.81,21.85,55.4,100,90,2.24
281,Destin,US,2020-10-24 21:29:55,30.39,-86.5,77.0,78,1,3.36
282,Qaqortoq,GL,2020-10-24 21:33:45,60.72,-46.03,30.2,68,33,3.36
283,Kokorevka,RU,2020-10-24 21:33:45,52.59,34.28,52.97,94,100,10.27
284,Tiarei,PF,2020-10-24 21:33:46,-17.53,-149.33,84.2,70,75,6.93
285,San Javier,ES,2020-10-24 21:33:46,37.81,-0.84,63.0,82,0,4.7
286,San Juan Del Rio,MX,2020-10-24 21:33:47,20.38,-100.0,77.0,29,20,11.41
287,Qianan,CN,2020-10-24 21:33:47,44.99,124.06,36.16,80,0,5.21
288,Khatanga,RU,2020-10-24 21:33:47,71.97,102.5,6.8,95,100,14.85
289,Mushie,CD,2020-10-24 21:33:48,-3.02,16.9,72.91,92,99,1.63
290,Belle Fourche,US,2020-10-24 21:33:48,44.67,-103.85,19.99,92,75,11.41
291,Ancud,CL,2020-10-24 21:33:49,-41.87,-73.82,52.0,87,90,12.75
292,Bac Lieu,VN,2020-10-24 21:33:49,9.29,105.72,77.13,88,89,3.71
293,Cubuk,TR,2020-10-24 21:33:49,40.24,33.03,64.0,53,0,1.99
294,Isangel,VU,2020-10-24 21:33:50,-19.55,169.27,80.6,69,75,11.43
295,Pangnirtung,CA,2020-10-24 21:33:50,66.15,-65.71,18.37,90,95,4.94
296,Chicama,PE,2020-10-24 21:33:51,-7.84,-79.15,66.2,77,0,12.75
297,Nantucket,US,2020-10-24 21:33:51,41.28,-70.1,62.6,82,90,10.29
298,Galveston,US,2020-10-24 21:30:45,29.37,-94.97,72.0,68,75,12.75
299,Acarau,BR,2020-10-24 21:33:52,-2.89,-40.12,79.86,79,4,16.55
300,Guerrero Negro,MX,2020-10-24 21:33:52,27.98,-114.06,72.9,63,16,17.63
301,Darlington,GB,2020-10-24 21:33:52,54.52,-1.55,46.99,87,40,6.93
302,Nakasongola,UG,2020-10-24 21:33:53,1.31,32.46,66.04,93,29,2.84
